,group_10yr,population,sex,year,zip
16353,50 to 59,4247,Male,2025,92130
16354,60 to 69,3007,Male,2025,92130
16355,70 to 79,1456,Male,2025,92130
16356,80+,482,Male,2025,92130
16357,Total Population,31560,Male,2025,92130
16358,Total Population,65283,Total,2025,92130
16359,Under 10,4953,Female,2030,92130
16360,10 to 19,6197,Female,2030,92130
16361,20 to 29,1900,Female,2030,92130
16362,30 to 39,4435,Female,2030,92130
16363,40 to 49,7209,Female,2030,92130
16364,50 to 59,4217,Female,2030,92130
16365,60 to 69,2791,Female,2030,92130
16366,70 to 79,1777,Female,2030,92130
16367,80+,747,Female,2030,92130
16368,Total Population,34226,Female,2030,92130
16369,Under 10,5034,Male,2030,92130
16370,10 to 19,6195,Male,2030,92130
16371,20 to 29,1831,Male,2030,92130
16372,30 to 39,3434,Male,2030,92130
16373,40 to 49,5823,Male,2030,92130
16374,50 to 59,4185,Male,2030,92130
16375,60 to 69,2692,Male,2030,92130
16376,70 to 79,1627,Male,2030,92130
16377,80+,626,Male,2030,92130
16378,Total Population,31447,Male,2030,92130
16379,Total Population,65673,Total,2030,92130
16380,Under 10,4814,Female,2035,92130
16381,10 to 19,6212,Female,2035,92130
16382,20 to 29,2120,Female,2035,92130
16383,30 to 39,4058,Female,2035,92130
16384,40 to 49,7196,Female,2035,92130
16385,50 to 59,4702,Female,2035,92130
16386,60 to 69,2635,Female,2035,92130
16387,70 to 79,1815,Female,2035,92130
16388,80+,926,Female,2035,92130
16389,Total Population,34478,Female,2035,92130
16390,Under 10,4905,Male,2035,92130
16391,10 to 19,6070,Male,2035,92130
16392,20 to 29,1907,Male,2035,92130
16393,30 to 39,3116,Male,2035,92130
16394,40 to 49,5811,Male,2035,92130
16395,50 to 59,4405,Male,2035,92130
16396,60 to 69,2421,Male,2035,92130
16397,70 to 79,1679,Male,2035,92130
16398,80+,750,Male,2035,92130
16399,Total Population,31064,Male,2035,92130
16400,Total Population,65542,Total,2035,92130
16401,Under 10,4886,Female,2040,92130
16402,10 to 19,5916,Female,2040,92130
16403,20 to 29,2327,Female,2040,92130
16404,30 to 39,4119,Female,2040,92130
16405,40 to 49,6807,Female,2040,92130
16406,50 to 59,4931,Female,2040,92130
16407,60 to 69,2743,Female,2040,92130
16408,70 to 79,1719,Female,2040,92130
16409,80+,1093,Female,2040,92130
16410,Total Population,34541,Female,2040,92130
16411,Under 10,4900,Male,2040,92130
16412,10 to 19,5819,Male,2040,92130
16413,20 to 29,1986,Male,2040,92130
16414,30 to 39,2942,Male,2040,92130
16415,40 to 49,5674,Male,2040,92130
16416,50 to 59,4456,Male,2040,92130
16417,60 to 69,2369,Male,2040,92130
16418,70 to 79,1620,Male,2040,92130
16419,80+,849,Male,2040,92130
16420,Total Population,30615,Male,2040,92130
16421,Total Population,65156,Total,2040,92130
16422,Under 10,5157,Female,2045,92130
16423,10 to 19,5658,Female,2045,92130
16424,20 to 29,2290,Female,2045,92130
16425,30 to 39,4521,Female,2045,92130
16426,40 to 49,6308,Female,2045,92130
16427,50 to 59,4808,Female,2045,92130
16428,60 to 69,3023,Female,2045,92130
16429,70 to 79,1710,Female,2045,92130
16430,80+,1178,Female,2045,92130
16431,Total Population,34653,Female,2045,92130
16432,Under 10,5065,Male,2045,92130
16433,10 to 19,5690,Male,2045,92130
16434,20 to 29,1935,Male,2045,92130
16435,30 to 39,3038,Male,2045,92130
16436,40 to 49,5233,Male,2045,92130
16437,50 to 59,4452,Male,2045,92130
16438,60 to 69,2515,Male,2045,92130
16439,70 to 79,1556,Male,2045,92130
16440,80+,912,Male,2045,92130
16441,Total Population,30396,Male,2045,92130
16442,Total Population,65049,Total,2045,92130
16443,Under 10,5426,Female,2050,92130
16444,10 to 19,5659,Female,2050,92130
16445,20 to 29,2098,Female,2050,92130
16446,30 to 39,4921,Female,2050,92130
16447,40 to 49,6316,Female,2050,92130
16448,50 to 59,4358,Female,2050,92130
16449,60 to 69,3095,Female,2050,92130
16450,70 to 79,1757,Female,2050,92130
16451,80+,1164,Female,2050,92130
16452,Total Population,34794,Female,2050,92130
16453,Under 10,5271,Male,2050,92130
16454,10 to 19,5747,Male,2050,92130
16455,20 to 29,1838,Male,2050,92130
16456,30 to 39,3171,Male,2050,92130
16457,40 to 49,5018,Male,2050,92130
16458,50 to 59,4302,Male,2050,92130
16459,60 to 69,2526,Male,2050,92130
16460,70 to 79,1587,Male,2050,92130
16461,80+,885,Male,2050,92130
16462,Total Population,30345,Male,2050,92130
16463,Total Population,65139,Total,2050,92130
16464,Under 10,2371,Female,2012,92131
16465,10 to 19,2852,Female,2012,92131
16466,20 to 29,1404,Female,2012,92131
16467,30 to 39,2237,Female,2012,92131
16468,40 to 49,3178,Female,2012,92131
16469,50 to 59,2961,Female,2012,92131
16470,60 to 69,1759,Female,2012,92131
16471,70 to 79,577,Female,2012,92131
16472,80+,374,Female,2012,92131
16473,Total Population,17713,Female,2012,92131
16474,Under 10,2422,Male,2012,92131
16475,10 to 19,3044,Male,2012,92131
16476,20 to 29,1420,Male,2012,92131
16477,30 to 39,1972,Male,2012,92131
16478,40 to 49,2940,Male,2012,92131
16479,50 to 59,2791,Male,2012,92131
16480,60 to 69,1670,Male,2012,92131
16481,70 to 79,598,Male,2012,92131
16482,80+,299,Male,2012,92131
16483,Total Population,17156,Male,2012,92131
16484,Total Population,34869,Total,2012,92131
16485,Under 10,2881,Female,2020,92131
16486,10 to 19,2500,Female,2020,92131
16487,20 to 29,1367,Female,2020,92131
16488,30 to 39,2570,Female,2020,92131
16489,40 to 49,3006,Female,2020,92131
16490,50 to 59,2834,Female,2020,92131
16491,60 to 69,2268,Female,2020,92131
16492,70 to 79,886,Female,2020,92131
16493,80+,444,Female,2020,92131
16494,Total Population,18756,Female,2020,92131
16495,Under 10,2885,Male,2020,92131
16496,10 to 19,2576,Male,2020,92131
16497,20 to 29,1427,Male,2020,92131
16498,30 to 39,2185,Male,2020,92131
16499,40 to 49,2732,Male,2020,92131
16500,50 to 59,2612,Male,2020,92131
16501,60 to 69,2117,Male,2020,92131
16502,70 to 79,913,Male,2020,92131
16503,80+,304,Male,2020,92131
16504,Total Population,17751,Male,2020,92131
16505,Total Population,36507,Total,2020,92131
16506,Under 10,2896,Female,2025,92131
16507,10 to 19,2693,Female,2025,92131
16508,20 to 29,1232,Female,2025,92131
16509,30 to 39,2568,Female,2025,92131
16510,40 to 49,3278,Female,2025,92131
16511,50 to 59,2613,Female,2025,92131
16512,60 to 69,2317,Female,2025,92131
16513,70 to 79,1100,Female,2025,92131
16514,80+,495,Female,2025,92131
16515,Total Population,19192,Female,2025,92131
16516,Under 10,2836,Male,2025,92131
16517,10 to 19,2681,Male,2025,92131
16518,20 to 29,1272,Male,2025,92131
16519,30 to 39,2149,Male,2025,92131
16520,40 to 49,2866,Male,2025,92131
16521,50 to 59,2364,Male,2025,92131
16522,60 to 69,2215,Male,2025,92131
16523,70 to 79,1137,Male,2025,92131
16524,80+,364,Male,2025,92131
16525,Total Population,17884,Male,2025,92131
16526,Total Population,37076,Total,2025,92131
16527,Under 10,2766,Female,2030,92131
16528,10 to 19,2942,Female,2030,92131
16529,20 to 29,1225,Female,2030,92131
16530,30 to 39,2496,Female,2030,92131
16531,40 to 49,3485,Female,2030,92131
16532,50 to 59,2616,Female,2030,92131
16533,60 to 69,2185,Female,2030,92131
16534,70 to 79,1257,Female,2030,92131
16535,80+,634,Female,2030,92131
16536,Total Population,19606,Female,2030,92131
16537,Under 10,2730,Male,2030,92131
16538,10 to 19,2810,Male,2030,92131
16539,20 to 29,1196,Male,2030,92131
16540,30 to 39,2142,Male,2030,92131
16541,40 to 49,2932,Male,2030,92131
16542,50 to 59,2330,Male,2030,92131
16543,60 to 69,2044,Male,2030,92131
16544,70 to 79,1316,Male,2030,92131
16545,80+,467,Male,2030,92131
16546,Total Population,17967,Male,2030,92131
16547,Total Population,37573,Total,2030,92131
16548,Under 10,2651,Female,2035,92131
16549,10 to 19,2957,Female,2035,92131
16550,20 to 29,1349,Female,2035,92131
16551,30 to 39,2270,Female,2035,92131
16552,40 to 49,3516,Female,2035,92131
16553,50 to 59,2882,Female,2035,92131
16554,60 to 69,2064,Female,2035,92131
16555,70 to 79,1283,Female,2035,92131
16556,80+,815,Female,2035,92131
16557,Total Population,19787,Female,2035,92131
16558,Under 10,2616,Male,2035,92131
16559,10 to 19,2773,Male,2035,92131
16560,20 to 29,1236,Male,2035,92131
16561,30 to 39,1976,Male,2035,92131
16562,40 to 49,2899,Male,2035,92131
16563,50 to 59,2446,Male,2035,92131
16564,60 to 69,1887,Male,2035,92131
16565,70 to 79,1383,Male,2035,92131
16566,80+,581,Male,2035,92131
16567,Total Population,17797,Male,2035,92131
16568,Total Population,37584,Total,2035,92131
16569,Under 10,2723,Female,2040,92131
16570,10 to 19,2811,Female,2040,92131
16571,20 to 29,1552,Female,2040,92131
16572,30 to 39,2317,Female,2040,92131
16573,40 to 49,3369,Female,2040,92131
16574,50 to 59,3139,Female,2040,92131
16575,60 to 69,2116,Female,2040,92131
16576,70 to 79,1255,Female,2040,92131
16577,80+,1000,Female,2040,92131
16578,Total Population,20282,Female,2040,92131
16579,Under 10,2682,Male,2040,92131
16580,10 to 19,2672,Male,2040,92131
16581,20 to 29,1317,Male,2040,92131
16582,30 to 39,1932,Male,2040,92131
16583,40 to 49,2883,Male,2040,92131
16584,50 to 59,2521,Male,2040,92131
16585,60 to 69,1901,Male,2040,92131
16586,70 to 79,1339,Male,2040,92131
16587,80+,704,Male,2040,92131
16588,Total Population,17951,Male,2040,92131
16589,Total Population,38233,Total,2040,92131
16590,Under 10,2901,Female,2045,92131
16591,10 to 19,2692,Female,2045,92131
16592,20 to 29,1572,Female,2045,92131
16593,30 to 39,2595,Female,2045,92131
16594,40 to 49,3101,Female,2045,92131
16595,50 to 59,3178,Female,2045,92131
16596,60 to 69,2370,Female,2045,92131
16597,70 to 79,1247,Female,2045,92131
16598,80+,1132,Female,2045,92131
16599,Total Population,20788,Female,2045,92131
16600,Under 10,2855,Male,2045,92131
16601,10 to 19,2639,Male,2045,92131
16602,20 to 29,1305,Male,2045,92131
16603,30 to 39,2046,Male,2045,92131
16604,40 to 49,2719,Male,2045,92131
16605,50 to 59,2557,Male,2045,92131
16606,60 to 69,2058,Male,2045,92131
16607,70 to 79,1277,Male,2045,92131
16608,80+,775,Male,2045,92131
16609,Total Population,18231,Male,2045,92131
16610,Total Population,39019,Total,2045,92131
16611,Under 10,3069,Female,2050,92131
16612,10 to 19,2690,Female,2050,92131
16613,20 to 29,1435,Female,2050,92131
16614,30 to 39,2845,Female,2050,92131
16615,40 to 49,3081,Female,2050,92131
16616,50 to 59,2934,Female,2050,92131
16617,60 to 69,2468,Female,2050,92131
16618,70 to 79,1255,Female,2050,92131
16619,80+,1128,Female,2050,92131
16620,Total Population,20905,Female,2050,92131
16621,Under 10,2971,Male,2050,92131
16622,10 to 19,2668,Male,2050,92131
16623,20 to 29,1254,Male,2050,92131
16624,30 to 39,2101,Male,2050,92131
16625,40 to 49,2597,Male,2050,92131
16626,50 to 59,2517,Male,2050,92131
16627,60 to 69,2083,Male,2050,92131
16628,70 to 79,1268,Male,2050,92131
16629,80+,756,Male,2050,92131
16630,Total Population,18215,Male,2050,92131
16631,Total Population,39120,Total,2050,92131
16632,Under 10,1,Female,2012,92134
16633,10 to 19,6,Female,2012,92134
16634,20 to 29,19,Female,2012,92134
16635,30 to 39,4,Female,2012,92134
16636,40 to 49,0,Female,2012,92134
16637,50 to 59,0,Female,2012,92134
16638,60 to 69,1,Female,2012,92134
16639,70 to 79,1,Female,2012,92134
16640,80+,0,Female,2012,92134
16641,Total Population,32,Female,2012,92134
16642,Under 10,0,Male,2012,92134
16643,10 to 19,11,Male,2012,92134
16644,20 to 29,81,Male,2012,92134
16645,30 to 39,20,Male,2012,92134
16646,40 to 49,2,Male,2012,92134
16647,50 to 59,0,Male,2012,92134
16648,60 to 69,3,Male,2012,92134
16649,70 to 79,2,Male,2012,92134
16650,80+,4,Male,2012,92134
16651,Total Population,123,Male,2012,92134
16652,Total Population,155,Total,2012,92134
16653,Under 10,1,Female,2020,92134
16654,10 to 19,6,Female,2020,92134
16655,20 to 29,22,Female,2020,92134
16656,30 to 39,4,Female,2020,92134
16657,40 to 49,0,Female,2020,92134
16658,50 to 59,0,Female,2020,92134
16659,60 to 69,1,Female,2020,92134
16660,70 to 79,1,Female,2020,92134
16661,80+,0,Female,2020,92134
16662,Total Population,35,Female,2020,92134
16663,Under 10,0,Male,2020,92134
16664,10 to 19,15,Male,2020,92134
16665,20 to 29,97,Male,2020,92134
16666,30 to 39,18,Male,2020,92134
16667,40 to 49,1,Male,2020,92134
16668,50 to 59,0,Male,2020,92134
16669,60 to 69,3,Male,2020,92134
16670,70 to 79,4,Male,2020,92134
16671,80+,4,Male,2020,92134
16672,Total Population,142,Male,2020,92134
16673,Total Population,177,Total,2020,92134
16674,Under 10,1,Female,2025,92134
16675,10 to 19,6,Female,2025,92134
16676,20 to 29,21,Female,2025,92134
16677,30 to 39,5,Female,2025,92134
16678,40 to 49,0,Female,2025,92134
16679,50 to 59,0,Female,2025,92134
16680,60 to 69,1,Female,2025,92134
16681,70 to 79,0,Female,2025,92134
16682,80+,0,Female,2025,92134
16683,Total Population,34,Female,2025,92134
16684,Under 10,1,Male,2025,92134
16685,10 to 19,15,Male,2025,92134
16686,20 to 29,97,Male,2025,92134
16687,30 to 39,18,Male,2025,92134
16688,40 to 49,1,Male,2025,92134
16689,50 to 59,0,Male,2025,92134
16690,60 to 69,4,Male,2025,92134
16691,70 to 79,4,Male,2025,92134
16692,80+,4,Male,2025,92134
16693,Total Population,144,Male,2025,92134
16694,Total Population,178,Total,2025,92134
16695,Under 10,1,Female,2030,92134
16696,10 to 19,6,Female,2030,92134
16697,20 to 29,20,Female,2030,92134
16698,30 to 39,5,Female,2030,92134
16699,40 to 49,0,Female,2030,92134
16700,50 to 59,0,Female,2030,92134
16701,60 to 69,2,Female,2030,92134
16702,70 to 79,0,Female,2030,92134
16703,80+,0,Female,2030,92134
16704,Total Population,34,Female,2030,92134
16705,Under 10,2,Male,2030,92134
16706,10 to 19,16,Male,2030,92134
16707,20 to 29,93,Male,2030,92134
16708,30 to 39,19,Male,2030,92134
16709,40 to 49,1,Male,2030,92134
16710,50 to 59,0,Male,2030,92134
16711,60 to 69,4,Male,2030,92134
16712,70 to 79,5,Male,2030,92134
16713,80+,4,Male,2030,92134
16714,Total Population,144,Male,2030,92134
16715,Total Population,178,Total,2030,92134
16716,Under 10,1,Female,2035,92134
16717,10 to 19,6,Female,2035,92134
16718,20 to 29,19,Female,2035,92134
16719,30 to 39,5,Female,2035,92134
16720,40 to 49,0,Female,2035,92134
16721,50 to 59,0,Female,2035,92134
16722,60 to 69,2,Female,2035,92134
16723,70 to 79,1,Female,2035,92134
16724,80+,0,Female,2035,92134
16725,Total Population,34,Female,2035,92134
16726,Under 10,2,Male,2035,92134
16727,10 to 19,15,Male,2035,92134
16728,20 to 29,92,Male,2035,92134
16729,30 to 39,20,Male,2035,92134
16730,40 to 49,2,Male,2035,92134
16731,50 to 59,0,Male,2035,92134
16732,60 to 69,3,Male,2035,92134
16733,70 to 79,5,Male,2035,92134
16734,80+,5,Male,2035,92134
16735,Total Population,144,Male,2035,92134
16736,Total Population,178,Total,2035,92134
16737,Under 10,0,Female,2040,92134
16738,10 to 19,6,Female,2040,92134
16739,20 to 29,20,Female,2040,92134
16740,30 to 39,4,Female,2040,92134
16741,40 to 49,0,Female,2040,92134
16742,50 to 59,0,Female,2040,92134
16743,60 to 69,2,Female,2040,92134
16744,70 to 79,0,Female,2040,92134
16745,80+,0,Female,2040,92134
16746,Total Population,32,Female,2040,92134
16747,Under 10,3,Male,2040,92134
16748,10 to 19,15,Male,2040,92134
16749,20 to 29,94,Male,2040,92134
16750,30 to 39,19,Male,2040,92134
16751,40 to 49,2,Male,2040,92134
16752,50 to 59,0,Male,2040,92134
16753,60 to 69,4,Male,2040,92134
16754,70 to 79,6,Male,2040,92134
16755,80+,4,Male,2040,92134
16756,Total Population,147,Male,2040,92134
16757,Total Population,179,Total,2040,92134
16758,Under 10,0,Female,2045,92134
16759,10 to 19,5,Female,2045,92134
16760,20 to 29,21,Female,2045,92134
16761,30 to 39,4,Female,2045,92134
16762,40 to 49,0,Female,2045,92134
16763,50 to 59,0,Female,2045,92134
16764,60 to 69,1,Female,2045,92134
16765,70 to 79,1,Female,2045,92134
16766,80+,0,Female,2045,92134
16767,Total Population,32,Female,2045,92134
16768,Under 10,4,Male,2045,92134
16769,10 to 19,15,Male,2045,92134
16770,20 to 29,91,Male,2045,92134
16771,30 to 39,20,Male,2045,92134
16772,40 to 49,2,Male,2045,92134
16773,50 to 59,0,Male,2045,92134
16774,60 to 69,4,Male,2045,92134
16775,70 to 79,6,Male,2045,92134
16776,80+,5,Male,2045,92134
16777,Total Population,147,Male,2045,92134
16778,Total Population,179,Total,2045,92134
16779,Under 10,1,Female,2050,92134
16780,10 to 19,5,Female,2050,92134
16781,20 to 29,19,Female,2050,92134
16782,30 to 39,4,Female,2050,92134
16783,40 to 49,0,Female,2050,92134
16784,50 to 59,0,Female,2050,92134
16785,60 to 69,1,Female,2050,92134
16786,70 to 79,1,Female,2050,92134
16787,80+,0,Female,2050,92134
16788,Total Population,31,Female,2050,92134
16789,Under 10,4,Male,2050,92134
16790,10 to 19,12,Male,2050,92134
16791,20 to 29,93,Male,2050,92134
16792,30 to 39,22,Male,2050,92134
16793,40 to 49,2,Male,2050,92134
16794,50 to 59,0,Male,2050,92134
16795,60 to 69,4,Male,2050,92134
16796,70 to 79,5,Male,2050,92134
16797,80+,6,Male,2050,92134
16798,Total Population,148,Male,2050,92134
16799,Total Population,179,Total,2050,92134
16800,Under 10,12,Female,2012,92135
16801,10 to 19,95,Female,2012,92135
16802,20 to 29,608,Female,2012,92135
16803,30 to 39,96,Female,2012,92135
16804,40 to 49,26,Female,2012,92135
16805,50 to 59,11,Female,2012,92135
16806,60 to 69,1,Female,2012,92135
16807,70 to 79,0,Female,2012,92135
16808,80+,0,Female,2012,92135
16809,Total Population,849,Female,2012,92135
16810,Under 10,13,Male,2012,92135
16811,10 to 19,217,Male,2012,92135
16812,20 to 29,2833,Male,2012,92135
16813,30 to 39,607,Male,2012,92135
16814,40 to 49,178,Male,2012,92135
16815,50 to 59,33,Male,2012,92135
16816,60 to 69,12,Male,2012,92135
16817,70 to 79,0,Male,2012,92135
16818,80+,0,Male,2012,92135
16819,Total Population,3893,Male,2012,92135
16820,Total Population,4742,Total,2012,92135
16821,Under 10,12,Female,2020,92135
16822,10 to 19,95,Female,2020,92135
16823,20 to 29,608,Female,2020,92135
16824,30 to 39,96,Female,2020,92135
16825,40 to 49,26,Female,2020,92135
16826,50 to 59,11,Female,2020,92135
16827,60 to 69,1,Female,2020,92135
16828,70 to 79,0,Female,2020,92135
16829,80+,0,Female,2020,92135
16830,Total Population,849,Female,2020,92135
16831,Under 10,13,Male,2020,92135
16832,10 to 19,217,Male,2020,92135
16833,20 to 29,2836,Male,2020,92135
16834,30 to 39,610,Male,2020,92135
16835,40 to 49,178,Male,2020,92135
16836,50 to 59,33,Male,2020,92135
16837,60 to 69,12,Male,2020,92135
16838,70 to 79,0,Male,2020,92135
16839,80+,0,Male,2020,92135
16840,Total Population,3899,Male,2020,92135
16841,Total Population,4748,Total,2020,92135
16842,Under 10,12,Female,2025,92135
16843,10 to 19,95,Female,2025,92135
16844,20 to 29,608,Female,2025,92135
16845,30 to 39,96,Female,2025,92135
16846,40 to 49,26,Female,2025,92135
16847,50 to 59,11,Female,2025,92135
16848,60 to 69,1,Female,2025,92135
16849,70 to 79,0,Female,2025,92135
16850,80+,0,Female,2025,92135
16851,Total Population,849,Female,2025,92135
16852,Under 10,13,Male,2025,92135
16853,10 to 19,217,Male,2025,92135
16854,20 to 29,2838,Male,2025,92135
16855,30 to 39,611,Male,2025,92135
16856,40 to 49,178,Male,2025,92135
16857,50 to 59,33,Male,2025,92135
16858,60 to 69,12,Male,2025,92135
16859,70 to 79,0,Male,2025,92135
16860,80+,0,Male,2025,92135
16861,Total Population,3902,Male,2025,92135
16862,Total Population,4751,Total,2025,92135
16863,Under 10,12,Female,2030,92135
16864,10 to 19,95,Female,2030,92135
16865,20 to 29,608,Female,2030,92135
16866,30 to 39,96,Female,2030,92135
16867,40 to 49,26,Female,2030,92135
16868,50 to 59,11,Female,2030,92135
16869,60 to 69,1,Female,2030,92135
16870,70 to 79,0,Female,2030,92135
16871,80+,0,Female,2030,92135
16872,Total Population,849,Female,2030,92135
16873,Under 10,13,Male,2030,92135
16874,10 to 19,217,Male,2030,92135
16875,20 to 29,2836,Male,2030,92135
16876,30 to 39,609,Male,2030,92135
16877,40 to 49,178,Male,2030,92135
16878,50 to 59,33,Male,2030,92135
16879,60 to 69,12,Male,2030,92135
16880,70 to 79,0,Male,2030,92135
16881,80+,0,Male,2030,92135
16882,Total Population,3898,Male,2030,92135
16883,Total Population,4747,Total,2030,92135
16884,Under 10,12,Female,2035,92135
16885,10 to 19,95,Female,2035,92135
16886,20 to 29,608,Female,2035,92135
16887,30 to 39,96,Female,2035,92135
16888,40 to 49,26,Female,2035,92135
16889,50 to 59,11,Female,2035,92135
16890,60 to 69,1,Female,2035,92135
16891,70 to 79,0,Female,2035,92135
16892,80+,0,Female,2035,92135
16893,Total Population,849,Female,2035,92135
16894,Under 10,13,Male,2035,92135
16895,10 to 19,217,Male,2035,92135
16896,20 to 29,2837,Male,2035,92135
16897,30 to 39,610,Male,2035,92135
16898,40 to 49,178,Male,2035,92135
16899,50 to 59,33,Male,2035,92135
16900,60 to 69,12,Male,2035,92135
16901,70 to 79,0,Male,2035,92135
16902,80+,0,Male,2035,92135
16903,Total Population,3900,Male,2035,92135
16904,Total Population,4749,Total,2035,92135
16905,Under 10,12,Female,2040,92135
16906,10 to 19,95,Female,2040,92135
16907,20 to 29,608,Female,2040,92135
16908,30 to 39,96,Female,2040,92135
16909,40 to 49,26,Female,2040,92135
16910,50 to 59,11,Female,2040,92135
16911,60 to 69,1,Female,2040,92135
16912,70 to 79,0,Female,2040,92135
16913,80+,0,Female,2040,92135
16914,Total Population,849,Female,2040,92135
16915,Under 10,13,Male,2040,92135
16916,10 to 19,217,Male,2040,92135
16917,20 to 29,2836,Male,2040,92135
16918,30 to 39,610,Male,2040,92135
16919,40 to 49,178,Male,2040,92135
16920,50 to 59,33,Male,2040,92135
16921,60 to 69,12,Male,2040,92135
16922,70 to 79,0,Male,2040,92135
16923,80+,0,Male,2040,92135
16924,Total Population,3899,Male,2040,92135
16925,Total Population,4748,Total,2040,92135
16926,Under 10,12,Female,2045,92135
16927,10 to 19,95,Female,2045,92135
16928,20 to 29,608,Female,2045,92135
16929,30 to 39,96,Female,2045,92135
16930,40 to 49,26,Female,2045,92135
16931,50 to 59,11,Female,2045,92135
16932,60 to 69,1,Female,2045,92135
16933,70 to 79,0,Female,2045,92135
16934,80+,0,Female,2045,92135
16935,Total Population,849,Female,2045,92135
16936,Under 10,13,Male,2045,92135
16937,10 to 19,217,Male,2045,92135
16938,20 to 29,2834,Male,2045,92135
16939,30 to 39,609,Male,2045,92135
16940,40 to 49,178,Male,2045,92135
16941,50 to 59,33,Male,2045,92135
16942,60 to 69,12,Male,2045,92135
16943,70 to 79,0,Male,2045,92135
16944,80+,0,Male,2045,92135
16945,Total Population,3896,Male,2045,92135
16946,Total Population,4745,Total,2045,92135
16947,Under 10,12,Female,2050,92135
16948,10 to 19,95,Female,2050,92135
16949,20 to 29,608,Female,2050,92135
16950,30 to 39,96,Female,2050,92135
16951,40 to 49,26,Female,2050,92135
16952,50 to 59,11,Female,2050,92135
16953,60 to 69,1,Female,2050,92135
16954,70 to 79,0,Female,2050,92135
16955,80+,0,Female,2050,92135
16956,Total Population,849,Female,2050,92135
16957,Under 10,13,Male,2050,92135
16958,10 to 19,217,Male,2050,92135
16959,20 to 29,2836,Male,2050,92135
16960,30 to 39,610,Male,2050,92135
16961,40 to 49,178,Male,2050,92135
16962,50 to 59,33,Male,2050,92135
16963,60 to 69,12,Male,2050,92135
16964,70 to 79,0,Male,2050,92135
16965,80+,0,Male,2050,92135
16966,Total Population,3899,Male,2050,92135
16967,Total Population,4748,Total,2050,92135
16968,Under 10,126,Female,2012,92136
16969,10 to 19,262,Female,2012,92136
16970,20 to 29,1179,Female,2012,92136
16971,30 to 39,224,Female,2012,92136
16972,40 to 49,96,Female,2012,92136
16973,50 to 59,88,Female,2012,92136
16974,60 to 69,51,Female,2012,92136
16975,70 to 79,29,Female,2012,92136
16976,80+,22,Female,2012,92136
16977,Total Population,2077,Female,2012,92136
16978,Under 10,110,Male,2012,92136
16979,10 to 19,611,Male,2012,92136
16980,20 to 29,6380,Male,2012,92136
16981,30 to 39,1369,Male,2012,92136
16982,40 to 49,380,Male,2012,92136
16983,50 to 59,99,Male,2012,92136
16984,60 to 69,47,Male,2012,92136
16985,70 to 79,23,Male,2012,92136
16986,80+,16,Male,2012,92136
16987,Total Population,9035,Male,2012,92136
16988,Total Population,11112,Total,2012,92136
16989,Under 10,128,Female,2020,92136
16990,10 to 19,245,Female,2020,92136
16991,20 to 29,1172,Female,2020,92136
16992,30 to 39,247,Female,2020,92136
16993,40 to 49,114,Female,2020,92136
16994,50 to 59,96,Female,2020,92136
16995,60 to 69,53,Female,2020,92136
16996,70 to 79,28,Female,2020,92136
16997,80+,21,Female,2020,92136
16998,Total Population,2104,Female,2020,92136
16999,Under 10,122,Male,2020,92136
17000,10 to 19,591,Male,2020,92136
17001,20 to 29,6405,Male,2020,92136
17002,30 to 39,1315,Male,2020,92136
17003,40 to 49,367,Male,2020,92136
17004,50 to 59,105,Male,2020,92136
17005,60 to 69,60,Male,2020,92136
17006,70 to 79,23,Male,2020,92136
17007,80+,20,Male,2020,92136
17008,Total Population,9008,Male,2020,92136
17009,Total Population,11112,Total,2020,92136
17010,Under 10,126,Female,2025,92136
17011,10 to 19,237,Female,2025,92136
17012,20 to 29,1181,Female,2025,92136
17013,30 to 39,242,Female,2025,92136
17014,40 to 49,116,Female,2025,92136
17015,50 to 59,94,Female,2025,92136
17016,60 to 69,54,Female,2025,92136
17017,70 to 79,28,Female,2025,92136
17018,80+,21,Female,2025,92136
17019,Total Population,2099,Female,2025,92136
17020,Under 10,123,Male,2025,92136
17021,10 to 19,595,Male,2025,92136
17022,20 to 29,6400,Male,2025,92136
17023,30 to 39,1311,Male,2025,92136
17024,40 to 49,370,Male,2025,92136
17025,50 to 59,108,Male,2025,92136
17026,60 to 69,60,Male,2025,92136
17027,70 to 79,26,Male,2025,92136
17028,80+,20,Male,2025,92136
17029,Total Population,9013,Male,2025,92136
17030,Total Population,11112,Total,2025,92136
17031,Under 10,123,Female,2030,92136
17032,10 to 19,242,Female,2030,92136
17033,20 to 29,1185,Female,2030,92136
17034,30 to 39,240,Female,2030,92136
17035,40 to 49,116,Female,2030,92136
17036,50 to 59,97,Female,2030,92136
17037,60 to 69,52,Female,2030,92136
17038,70 to 79,30,Female,2030,92136
17039,80+,20,Female,2030,92136
17040,Total Population,2105,Female,2030,92136
17041,Under 10,118,Male,2030,92136
17042,10 to 19,598,Male,2030,92136
17043,20 to 29,6397,Male,2030,92136
17044,30 to 39,1317,Male,2030,92136
17045,40 to 49,369,Male,2030,92136
17046,50 to 59,104,Male,2030,92136
17047,60 to 69,61,Male,2030,92136
17048,70 to 79,25,Male,2030,92136
17049,80+,18,Male,2030,92136
17050,Total Population,9007,Male,2030,92136
17051,Total Population,11112,Total,2030,92136
17052,Under 10,126,Female,2035,92136
17053,10 to 19,237,Female,2035,92136
17054,20 to 29,1222,Female,2035,92136
